"Group","Status","Acinetobacter.01","Acinetobacter.02","Actinomyces.01","Actinomyces.02","Alicyclobacillus.01","Anaerococcus.01","Anaerococcus.02","Atopobium.01","Atopobium.02","Bifidobacterium.01","Bulleidia.01","Burkholderia.01","C.Betaproteobacteria.01","C.Betaproteobacteria.02","C.Gammaproteobacteria.01","C.Gammaproteobacteria.02","C.Gammaproteobacteria.03","C.Gammaproteobacteria.04","C.Gammaproteobacteria.05","C.Gammaproteobacteria.06","C.Gammaproteobacteria.07","C.Gammaproteobacteria.08","C.Gammaproteobacteria.09","C.Gammaproteobacteria.10","C.Gammaproteobacteria.11","Campylobacter.01","Capnocytophaga.01","Carnobacterium.01","Catonella.01","Chryseobacterium.01","Corynebacterium.01","Corynebacterium.02","Dolosigranulum.01","Dyella.01","Eubacterium.01","F.Alcaligenaceae.01","F.Burkholderiaceae.01","F.Burkholderiaceae.02","F.Carnobacteriaceae.01","F.Comamonadaceae.01","F.Comamonadaceae.02","F.Enterobacteriaceae.01","F.Erysipelotrichaceae.01","F.Neisseriaceae.01","F.Pasteurellaceae.01","F.Pasteurellaceae.02","F.Prevotellaceae.01","F.Prevotellaceae.02","F.Prevotellaceae.03","F.Pseudomonadaceae.01","F.Pseudomonadaceae.02","F.Rhodocyclaceae.01","F.Xanthomonadaceae.01","Fusobacterium.01","Fusobacterium.02","Gemella.01","Gp2.01","Gp2.02","Lactobacillus.01","Marinobacter.01","Megasphaera.01","Metascardovia.01","Microbacterium.01","Mogibacterium.01","Mycoplasma.01","Neisseria.01","O.Actinomycetales.01","O.Actinomycetales.02","O.Actinomycetales.03","O.Actinomycetales.04","O.Bacteroidales.01","O.Bacteroidales.02","O.Burkholderiales.01","O.Clostridiales.01","O.Clostridiales.02","O.Clostridiales.03","O.Clostridiales.04","O.Clostridiales.05","P.Firmicutes.01","Paracoccus.01","Parvimonas.01","Parvimonas.02","Parvimonas.03","Peptoniphilus.01","Peptoniphilus.02","Peptoniphilus.03","Peptostreptococcus.01","Porphyromonas.01","Porphyromonas.02","Porphyromonas.03","Prevotella.01","Prevotella.02","Prevotella.03","Prevotella.04","Prevotella.05","Prevotella.06","Prevotella.07","Prevotella.08","Prevotella.09","Prevotella.10","Propionibacterium.01","Propionibacterium.02","Pseudomonas.01","Pseudomonas.02","Ralstonia.01","Rhizobium.01","Selenomonas.01","Selenomonas.02","Selenomonas.03","Solobacterium.01","Staphylococcus.01","Streptococcus.01","Sulfuricurvum.01","Tannerella.01","TM7_genus_incertae_sedis.01","TM7_genus_incertae_sedis.02","TM7_genus_incertae_sedis.03","TM7_genus_incertae_sedis.04","TM7_genus_incertae_sedis.05","TM7_genus_incertae_sedis.06","TM7_genus_incertae_sedis.07","TM7_genus_incertae_sedis.08","Treponema.01","Tropheryma.01","Veillonella.01","Veillonella.02"
"S","A",0.000632911392405063,0.00126582278481013,0.00791139240506329,0.00981012658227848,0.00759493670886076,0.00348101265822785,0,0.0139240506329114,0,0,0,0,0.00221518987341772,0,0.000949367088607595,0.00474683544303797,0.00221518987341772,0.00348101265822785,0.000316455696202532,0.000316455696202532,0.000632911392405063,0,0.00126582278481013,0.00189873417721519,0.000949367088607595,0.00379746835443038,0.000949367088607595,0.00126582278481013,0.00158227848101266,0.000632911392405063,0.029746835443038,0.0060126582278481,0,0,0.00411392405063291,0.00664556962025316,0,0,0.000316455696202532,0.0329113924050633,0.00284810126582278,0.00474683544303797,0,0,0.015506329113924,0.00411392405063291,0.00569620253164557,0.000949367088607595,0.00158227848101266,0.0189873417721519,0.00284810126582278,0,0.0234177215189873,0.0151898734177215,0.000949367088607595,0.00126582278481013,0,0.000949367088607595,0.00126582278481013,0,0.00189873417721519,0,0.00537974683544304,0.00664556962025316,0,0.0240506329113924,0.00632911392405063,0.00411392405063291,0.000316455696202532,0,0,0,0.0069620253164557,0,0.00348101265822785,0.000316455696202532,0,0,0,0.00284810126582278,0.00189873417721519,0.000949367088607595,0,0.00664556962025316,0,0,0.00759493670886076,0.00284810126582278,0,0.00253164556962025,0.0382911392405063,0.0208860759493671,0.00411392405063291,0,0,0.00126582278481013,0,0.00126582278481013,0,0,0.142721518987342,0,0.00632911392405063,0.0129746835443038,0.0598101265822785,0.00253164556962025,0.0113924050632911,0.00506329113924051,0.00189873417721519,0.00759493670886076,0.0313291139240506,0.0465189873417722,0.00189873417721519,0.00189873417721519,0.0430379746835443,0.0126582278481013,0.00981012658227848,0.00759493670886076,0.000316455696202532,0.00253164556962025,0.00158227848101266,0,0.00284810126582278,0,0.00822784810126582,0.000316455696202532
"S","A",0.000555092978073827,0,0,0,0.0247016375242853,0,0,0,0,0,0.000277546489036914,0.0210935331668054,0,0,0,0.0105467665834027,0.00666111573688593,0.00444074382459062,0.000555092978073827,0.000555092978073827,0.000277546489036914,0.0019428254232584,0.000277546489036914,0.00222037191229531,0.00138773244518457,0,0,0.0130446849847349,0,0,0.0188731612545101,0,0,0,0,0.000832639467110741,0.00249791840133222,0.0019428254232584,0,0.0119344990285873,0,0.00777130169303358,0.000277546489036914,0,0.00749375520399667,0.00138773244518457,0.000277546489036914,0.0116569525395504,0.00111018595614765,0.0882597835137385,0.0122120455176242,0,0.0019428254232584,0.000277546489036914,0.000277546489036914,0.000277546489036914,0.0155426033860672,0.0108243130724396,0.0019428254232584,0.000555092978073827,0,0,0.000277546489036914,0,0,0.000277546489036914,0,0.00693866222592284,0,0,0,0,0.000555092978073827,0,0,0,0,0,0,0,0,0,0,0.0424646128226478,0,0.000277546489036914,0.00138773244518457,0,0,0,0.0360810435747988,0,0,0,0,0,0,0,0,0,0.365806272550652,0,0.0152650568970303,0.00471829031362753,0.070774354704413,0.000832639467110741,0.000277546489036914,0,0,0.000277546489036914,0.0369136830419095,0.0346933111296142,0.00249791840133222,0,0.00138773244518457,0.00249791840133222,0,0,0,0,0,0,0,0,0.000277546489036914,0
"C","A",0.00937081659973226,0.000308928019771393,0.000514880032952322,0.000720832046133251,0.0982391102873031,0.000411904026361858,0,0.00164761610544743,0.000205952013180929,0.000102976006590464,0,0.00659046442178972,0,0.000102976006590464,0.00504582432293276,0.00391308825043765,0.00411904026361858,0.002883328184533,0.000308928019771393,0.000617856039542787,0.000102976006590464,0.000102976006590464,0.000823808052723715,0.000720832046133251,0.00123571207908557,0.000102976006590464,0,0.00483987230975183,0,0,0.00329523221089486,0.000102976006590464,0,0.000308928019771393,0,0.000411904026361858,0.000720832046133251,0.000308928019771393,0.000102976006590464,0.00432499227679951,0.000308928019771393,0.0017505921120379,0,0.000102976006590464,0.00844403254041808,0.000411904026361858,0.000411904026361858,0.00278035217794254,0.00092678405931418,0.0382040984450623,0.00659046442178972,0.000102976006590464,0.00102976006590464,0.000308928019771393,0.000411904026361858,0.000411904026361858,0.00473689630316136,0.00308928019771393,0.00185356811862836,0.000720832046133251,0,0.000102976006590464,0,0.000102976006590464,0,0.00164761610544743,0.000102976006590464,0.00195654412521882,0.000205952013180929,0.000102976006590464,0.000102976006590464,0,0.000308928019771393,0.000411904026361858,0,0,0.000205952013180929,0,0,0.000308928019771393,0.00092678405931418,0,0,0.0120481927710843,0.000102976006590464,0,0.0014416640922665,0.000411904026361858,0,0.000102976006590464,0.031922562043044,0.0017505921120379,0.00205952013180929,0.00092678405931418,0.000308928019771393,0,0,0.000308928019771393,0.000102976006590464,0,0.229739470703326,0,0.0134898568633508,0.00185356811862836,0.232622798887859,0.000720832046133251,0.000514880032952322,0.000102976006590464,0,0.000617856039542787,0.116465863453815,0.0132839048501699,0.000617856039542787,0,0.00298630419112347,0.00906188857996087,0.00102976006590464,0.000617856039542787,0.00092678405931418,0,0,0.00102976006590464,0,0,0.000205952013180929,0
"S","A",0.000231615518239722,0.00127388535031847,0.0121598147075854,0.0215402431962942,0.00289519397799653,0.00289519397799653,0.00613781123335263,0.0108859293572669,0.000463231036479444,0.000463231036479444,0.000463231036479444,0.00671685002895194,0.00196873190503764,0.000347423277359583,0.000347423277359583,0.00497973364215402,0.00312680949623625,0.0020845396641575,0.00428488708743486,0.000347423277359583,0,0.000810654313839027,0.00104226983207875,0.000926462072958888,0.000231615518239722,0.00185292414591778,0.000926462072958888,0.00220034742327736,0.00138969310943833,0.00521134916039375,0.00150550086855819,0.000115807759119861,0.00312680949623625,0.000694846554719166,0.00138969310943833,0.000810654313839027,0.000231615518239722,0.000231615518239722,0.00359004053271569,0.004169079328315,0.00115807759119861,0.00150550086855819,0,0.000926462072958888,0.0135495078170237,0.0126230457440649,0.00347423277359583,0.00509554140127389,0.000926462072958888,0.0286045165026057,0.00544296467863347,0,0.00115807759119861,0.0138969310943833,0.00162130862767805,0.00254777070063694,0.00115807759119861,0.00185292414591778,0.000463231036479444,0.00185292414591778,0.00127388535031847,0.000115807759119861,0.000926462072958888,0.000810654313839027,0.00115807759119861,0.0180660104226983,0.00335842501447597,0.000694846554719166,0.00254777070063694,0.000231615518239722,0.00127388535031847,0.000115807759119861,0.00138969310943833,0.00104226983207875,0.00254777070063694,0.00428488708743486,0.00335842501447597,0.000347423277359583,0.00162130862767805,0.000694846554719166,0.00741169658367111,0.00254777070063694,0.00104226983207875,0.00521134916039375,0.000694846554719166,0.000463231036479444,0.0260567458019687,0.00521134916039375,0.000926462072958888,0.000579038795599305,0.0721482339316734,0.02501447596989,0.00833815865662999,0.00382165605095541,0.00150550086855819,0,0.000579038795599305,0.000694846554719166,0.00127388535031847,0.000347423277359583,0.0848870874348581,0.000347423277359583,0.00405327156919514,0.00173711638679792,0.0526925303995368,0.00150550086855819,0.0180660104226983,0.00822235089751013,0.00497973364215402,0.00382165605095541,0.0191082802547771,0.0663578459756804,0.000231615518239722,0,0.0552403011001737,0.0134337000579039,0.0152866242038217,0.0176027793862189,0.000926462072958888,0.000810654313839027,0.000694846554719166,0.000694846554719166,0.000926462072958888,0.000347423277359583,0.0159814707585408,0.000463231036479444
"S","A",0.000747663551401869,0.000373831775700935,0.0351401869158878,0.0261682242990654,0.000747663551401869,0.00149532710280374,0.000747663551401869,0.0220560747663551,0.0011214953271028,0.000747663551401869,0.00224299065420561,0.00224299065420561,0.0011214953271028,0.000373831775700935,0.000373831775700935,0.000373831775700935,0.000373831775700935,0,0,0,0.000747663551401869,0,0,0,0.000373831775700935,0.00373831775700935,0.000373831775700935,0.0011214953271028,0.00224299065420561,0,0.0011214953271028,0,0.00261682242990654,0.0011214953271028,0,0.000373831775700935,0,0.000373831775700935,0.00224299065420561,0.000747663551401869,0,0.000373831775700935,0,0,0.00747663551401869,0.0130841121495327,0.00560747663551402,0.00149532710280374,0.0011214953271028,0.0100934579439252,0.0011214953271028,0,0.000747663551401869,0.0157009345794393,0.0538317757009346,0.00672897196261682,0.00224299065420561,0.000747663551401869,0.000747663551401869,0,0.00149532710280374,0.00149532710280374,0,0.0011214953271028,0.00186915887850467,0.0130841121495327,0.00710280373831776,0.000373831775700935,0.000747663551401869,0.000373831775700935,0.00261682242990654,0,0.000747663551401869,0.00224299065420561,0.00224299065420561,0.00186915887850467,0.00224299065420561,0,0.0011214953271028,0.0011214953271028,0.0328971962616822,0.00224299065420561,0.000373831775700935,0.00336448598130841,0,0.000747663551401869,0.0235514018691589,0.00299065420560748,0.00672897196261682,0.00224299065420561,0.124859813084112,0.022803738317757,0.0085981308411215,0.0160747663551402,0.00186915887850467,0.00934579439252336,0.000747663551401869,0.0011214953271028,0,0.00261682242990654,0.0261682242990654,0,0.00186915887850467,0.0011214953271028,0.034392523364486,0,0.0130841121495327,0.00897196261682243,0.00485981308411215,0.00485981308411215,0.0104672897196262,0.110280373831776,0.000747663551401869,0.0011214953271028,0.0493457943925234,0.00485981308411215,0.0164485981308411,0.0145794392523364,0.000373831775700935,0.00224299065420561,0.000373831775700935,0.000747663551401869,0.000747663551401869,0,0.0314018691588785,0
"S","A",0.000230786983614124,0.00138472190168474,0.000461573967228248,0.000461573967228248,0,0,0,0.00623124855758135,0.00946226632817909,0.00438495268866836,0.000230786983614124,0.00807754442649435,0.000230786983614124,0,0.000461573967228248,0.00715439649203785,0.00600046157396723,0.00138472190168474,0.00415416570505424,0.000692360950842372,0.000461573967228248,0.000461573967228248,0.000230786983614124,0.00115393491807062,0.000923147934456497,0.000230786983614124,0,0,0,0,0.000461573967228248,0,0,0.00161550888529887,0,0.0103854142626356,0.00115393491807062,0.000692360950842372,0.00323101777059774,0.0237710593122548,0.000692360950842372,0.00115393491807062,0.000923147934456497,0,0.00138472190168474,0.00438495268866836,0,0,0,0.055850450034618,0.00553888760673898,0,0.0076159704592661,0.0191553196399723,0.0200784675744288,0.00276944380336949,0.00346180475421186,0.00415416570505424,0,0.00161550888529887,0,0.0066928225248096,0,0,0,0.00346180475421186,0.00992384029540734,0,0.000923147934456497,0,0.00300023078698361,0,0.00484652665589661,0.00992384029540734,0,0,0,0,0.000461573967228248,0,0.0360027694438034,0.00600046157396723,0,0,0.00346180475421186,0.00207708285252712,0.0320793907223633,0.0108469882298638,0,0,0.00346180475421186,0.00161550888529887,0.000230786983614124,0.00461573967228248,0,0,0,0,0.00530810062312486,0,0.146318947611355,0.00438495268866836,0.00138472190168474,0.00276944380336949,0.135010385414263,0,0,0.00253865681975537,0,0.0103854142626356,0.0173090237710593,0.0376182783291022,0,0,0.00553888760673898,0.104315716593584,0,0,0.0156935148857604,0,0,0.00138472190168474,0,0,0.00692360950842372,0
"C","A",0,0,0,0.000227066303360581,0.00295186194368756,0,0,0.009763851044505,0,0,0,0.0106721162579473,0.000454132606721163,0,0.000681198910081744,0.0242960944595822,0.0156675749318801,0.00772025431425976,0.00386012715712988,0.000908265213442325,0.000681198910081744,0,0.00113533151680291,0.00317892824704814,0.000227066303360581,0,0,0,0,0.00158946412352407,0.0165758401453224,0,0,0.000908265213442325,0,0.0313351498637602,0,0,0.00340599455040872,0.0519981834695731,0.00204359673024523,0.0072661217075386,0,0,0.000681198910081744,0.000227066303360581,0.00317892824704814,0,0,0.169164396003633,0.0193006357856494,0.0102179836512262,0.00476839237057221,0.000227066303360581,0,0,0.000227066303360581,0,0.000227066303360581,0,0,0,0.0106721162579473,0,0,0.000908265213442325,0,0.00272479564032698,0.00158946412352407,0,0,0,0.0036330608537693,0,0,0,0.000227066303360581,0,0,0.0174841053587648,0,0,0,0,0,0,0,0,0,0,0.00408719346049046,0,0.000227066303360581,0,0,0,0,0,0,0,0.29314259763851,0.00658492279745686,0.00227066303360581,0.000681198910081744,0.00181653042688465,0,0.000227066303360581,0,0.000227066303360581,0,0.0163487738419619,0.000681198910081744,0,0,0.000908265213442325,0.0990009082652134,0.000227066303360581,0,0,0,0,0.000227066303360581,0,0,0,0
"S","A",0.000736919675755343,0.00196511913534758,0.0469172193564235,0.0447064603291575,0.00294767870302137,0.000491279783836895,0.000245639891918448,0.0198968312453943,0,0,0,0.000491279783836895,0.000491279783836895,0,0.000491279783836895,0,0.000491279783836895,0.000245639891918448,0,0,0,0,0.000245639891918448,0.000245639891918448,0,0.00835175632522722,0.00196511913534758,0.000245639891918448,0.00098255956767379,0,0.000245639891918448,0,0.00393023827069516,0.000245639891918448,0.00270203881110292,0.000245639891918448,0,0,0.00343895848685827,0.00171947924342913,0.000736919675755343,0.000491279783836895,0,0.000245639891918448,0.00564971751412429,0.0191599115696389,0.00343895848685827,0.00122819945959224,0.00098255956767379,0.0103168754605748,0.00122819945959224,0,0.00147383935151069,0.0194055514615574,0.000491279783836895,0.00270203881110292,0.000245639891918448,0.000491279783836895,0,0.000491279783836895,0.00245639891918448,0.000245639891918448,0.00122819945959224,0.00171947924342913,0.000245639891918448,0.0117907148120855,0.00294767870302137,0.000245639891918448,0.00245639891918448,0.00098255956767379,0.000491279783836895,0,0.000736919675755343,0,0.00417587816261361,0.00393023827069516,0.00319331859493982,0,0,0.000245639891918448,0.00098255956767379,0.00245639891918448,0,0.00245639891918448,0.000245639891918448,0.000491279783836895,0.00663227708179808,0.00319331859493982,0.000736919675755343,0.000736919675755343,0.211004667157946,0.0324244657332351,0.0135101940555146,0.00589535740604274,0.00343895848685827,0.000491279783836895,0.00171947924342913,0.000736919675755343,0.000491279783836895,0.000736919675755343,0.0314419061655613,0.000245639891918448,0.000491279783836895,0,0.018668631785802,0.000245639891918448,0.0346352247605011,0.0167035126504544,0.00638663718987964,0.00442151805453206,0.0135101940555146,0.0913780397936625,0,0,0.049373618275608,0.00221075902726603,0.0191599115696389,0.0206337509211496,0,0.00221075902726603,0,0.000245639891918448,0.00147383935151069,0,0.0309506263817244,0.00098255956767379
"C","A",0.00130718954248366,0.000735294117647059,0.00972222222222222,0.0178921568627451,0.0065359477124183,0.00416666666666667,0.000245098039215686,0.0108660130718954,0.000408496732026144,8.16993464052288e-05,0.000490196078431373,0.00686274509803922,0.00065359477124183,0.000408496732026144,0.000245098039215686,0.00473856209150327,0.00400326797385621,0.00179738562091503,0.00138888888888889,0.000490196078431373,0.0017156862745098,0.000245098039215686,0.00130718954248366,0.0011437908496732,0.000898692810457516,0.00392156862745098,0.000571895424836601,0.00318627450980392,0.000980392156862745,0.000408496732026144,0.00302287581699346,0,0.00269607843137255,0.000571895424836601,0.00065359477124183,0.000898692810457516,0.00106209150326797,0.000980392156862745,0.00220588235294118,0.00514705882352941,0.00065359477124183,0.00155228758169935,0.000816993464052288,0.00269607843137255,0.0116013071895425,0.00727124183006536,0.00359477124183007,0.0011437908496732,0.000490196078431373,0.0458333333333333,0.00735294117647059,8.16993464052288e-05,0.00220588235294118,0.0108660130718954,0.000326797385620915,0.00179738562091503,0.0048202614379085,0.00285947712418301,0.00147058823529412,0.000245098039215686,0.00147058823529412,0.000163398692810458,0.00065359477124183,0.00106209150326797,0.000326797385620915,0.0102124183006536,0.00310457516339869,0.00106209150326797,0.00155228758169935,0.000163398692810458,0.00163398692810458,8.16993464052288e-05,0.00196078431372549,0.000408496732026144,0.0017156862745098,0.00138888888888889,0.00228758169934641,0.000163398692810458,0.00261437908496732,0.000898692810457516,0.00498366013071895,0.00196078431372549,0.000163398692810458,0.0112745098039216,0.00065359477124183,0.000245098039215686,0.0120915032679739,0.00285947712418301,0.000571895424836601,0.000163398692810458,0.0941993464052288,0.0173202614379085,0.00718954248366013,0.00465686274509804,0.00196078431372549,0,0.000326797385620915,0.000326797385620915,0.000735294117647059,8.16993464052288e-05,0.118137254901961,0.000571895424836601,0.00408496732026144,0.00269607843137255,0.0821078431372549,0.00065359477124183,0.0142156862745098,0.00588235294117647,0.00351307189542484,0.00473856209150327,0.0326797385620915,0.0509803921568627,0.000571895424836601,0.000163398692810458,0.0409313725490196,0.0251633986928105,0.00931372549019608,0.013562091503268,0.00122549019607843,0.000490196078431373,0,0.0017156862745098,0.00065359477124183,0.000980392156862745,0.0136437908496732,0.000735294117647059
"C","A",0.000165700082850041,0.000331400165700083,0.00613090306545153,0.0067937033968517,0.0124275062137531,0.00149130074565037,0,0.00347970173985087,0.00613090306545153,0,0.000165700082850041,0.015907207953604,0.000497100248550124,0.000331400165700083,0.00149130074565037,0.00795360397680199,0.0048053024026512,0.00331400165700083,0.000662800331400166,0.000662800331400166,0.00149130074565037,0.0019884009942005,0.00182270091135046,0.000994200497100249,0.000497100248550124,0.00165700082850041,0.000165700082850041,0.00331400165700083,0.000331400165700083,0.000165700082850041,0.00463960231980116,0.00182270091135046,0.000828500414250207,0.00347970173985087,0.000331400165700083,0.000662800331400166,0.00165700082850041,0.000662800331400166,0.0028169014084507,0.00878210439105219,0.000497100248550124,0.00364540182270091,0.000331400165700083,0.00132560066280033,0.00530240265120133,0.00729080364540182,0.00132560066280033,0.00364540182270091,0.00298260149130075,0.0614747307373654,0.0112676056338028,0.000331400165700083,0.00231980115990058,0.00530240265120133,0.000828500414250207,0.000497100248550124,0.00695940347970174,0.00397680198840099,0.00613090306545153,0.00248550124275062,0.000497100248550124,0.000331400165700083,0.000497100248550124,0.000662800331400166,0.000331400165700083,0.00579950289975145,0.00149130074565037,0.00314830157415079,0.000497100248550124,0,0.0048053024026512,0,0.00265120132560066,0.000331400165700083,0.00165700082850041,0.00115990057995029,0.00115990057995029,0,0.00132560066280033,0,0.00331400165700083,0.000828500414250207,0.000165700082850041,0.0213753106876553,0.000331400165700083,0.000331400165700083,0.0150787075393538,0.00149130074565037,0.000165700082850041,0.000165700082850041,0.0747307373653687,0.0067937033968517,0.00182270091135046,0.00115990057995029,0.00115990057995029,0,0.000331400165700083,0.000165700082850041,0,0.000165700082850041,0.16072908036454,0.000331400165700083,0.00430820215410108,0.00513670256835128,0.0669428334714167,0.000331400165700083,0.00828500414250207,0.00165700082850041,0.0019884009942005,0.00397680198840099,0.0308202154101077,0.0574979287489644,0.00364540182270091,0,0.0253521126760563,0.0207125103562552,0.00497100248550124,0.0142502071251036,0.00513670256835128,0.000828500414250207,0,0.000662800331400166,0.000165700082850041,0,0.00762220381110191,0
